Gene	Glucose_fg_cell	Chemostat_mu_0_5
hisB	1.87E-01	1.07E-01
ybeZ	4.75E-02	4.72E-02
argB	2.88E-01	1.24E-01
sufD	1.96E-02	1.45E-02
ompR	3.76E-02	3.74E-02
fruB	1.98E-02	1.75E-02
amn	3.81E-02	4.36E-02
guaC	7.10E-02	7.38E-02
hemX	4.18E-02	3.20E-02
glgC	1.94E-02	3.45E-02
metC	1.53E-01	8.35E-02
selD	4.31E-02	4.21E-02
murE	4.53E-02	2.98E-02
cysS	4.77E-02	2.90E-02
metB	1.32E-01	8.34E-02
mnmE	2.38E-02	1.98E-02
araF	2.06E-03	6.97E-03
aroD	4.01E-02	2.03E-02
rmlA	3.44E-02	2.59E-02
flu	1.05E-02	5.59E-03
uxuA	2.94E-02	3.10E-02
frmA	3.59E-02	3.01E-02
gatC	4.66E-02	3.87E-01
nfnB	5.96E-02	3.67E-02
purF	7.22E-02	4.29E-02
ppk	8.06E-03	1.53E-02
cysH	8.63E-02	3.94E-02
cysA	4.80E-02	5.23E-02
cysD	7.59E-02	5.08E-02
glpQ	1.11E-02	7.30E-03
argA	2.71E-02	2.98E-02
rlmN	1.54E-02	1.57E-02
avtA	4.29E-02	2.87E-02
selB	5.56E-03	6.75E-03
tpx	7.30E-01	7.68E-01
hns	5.81E-01	8.94E-01
moaB	7.92E-02	6.81E-02
arcA	1.52E-01	1.68E-01
rplY	3.57E-01	2.25E-01
dksA	1.70E-01	1.60E-01
grxB	1.08E-01	7.43E-02
fadL	3.80E-02	1.31E-01
atpF	2.57E-01	2.17E-01
lrp	1.91E-01	2.71E-01
ihfA	8.80E-02	8.27E-02
uspF	3.66E-02	1.06E-01
rplK	2.75E-01	1.76E-01
uspG	3.10E-02	2.59E-02
rpsI	2.17E-01	1.98E-01
qorA	5.08E-02	5.29E-02
dapA	1.86E-01	1.59E-01
cysQ	4.13E-02	2.76E-02
stpA	1.75E-01	7.90E-02
yifE	1.23E-01	1.14E-01
ytfQ	5.65E-03	2.61E-02
yhcB	1.35E-01	1.07E-01
purU	1.22E-01	9.40E-02
ydfG	8.55E-02	8.80E-02
psd	9.66E-02	6.93E-02
ydbC	2.11E-02	3.51E-02
curA	4.13E-02	3.15E-02
ybiB	4.16E-02	3.60E-02
bamB	6.69E-02	5.09E-02
yghU	4.13E-02	4.69E-02
nagB	2.72E-02	4.46E-02
sufS	3.74E-02	2.48E-02
cysM	8.31E-02	6.32E-02
accD	9.18E-02	7.84E-02
