,KM [mM],RIDS,MIDS
275,0.5204344,SPMS,h_c
276,0.016187109,SPMS,ametam_c
277,0.23194687,UDPG4E,udpg_c
278,0.32528833,UDPG4E,udpgal_c
279,1.4922705,PLIPA1A120pp,h2o_p
280,0.2225369,PPTHpp,pi_p
281,0.12540318,PPTHpp,h2_p
282,0.32459277,PPTHpp,ppt_p
283,0.1396916,PPTHpp,h2o_p
284,0.3112097,SSALx,succ_c
285,1.3271009,SSALx,h2o_c
286,0.3167716,SSALx,nad_c
287,0.20550278,SSALx,sucsal_c
288,1.4202123,SSALx,h_c
289,0.14859836,SSALx,nadh_c
290,0.097988784,HACD2,nad_c
291,0.042434238,HACD2,3hhcoa_c
292,0.04819164,HACD2,3ohcoa_c
293,4.2309384,HACD2,h_c
294,0.053577058,HACD2,nadh_c
295,0.37436575,MAN6PI,f6p_c
296,0.4115801,MAN6PI,man6p_c
297,1.2567874,MANPGH,h2o_c
